siniestro_id,poliza_id,fecha_siniestro,estado,monto_pagado,tipo_cobertura,edad_conductor
S-001,P-100,2024-01-15,CDMX,"$12,500.00",DM,34
S-002,P-101,20/01/2024,jalisco," $8,300.50 ",RC,45
S-003,P-102,2024-02-03, Nuevo Leon ,15000,DM,29
S-004,P-103,2024-02-18,CDMX,"$3,200",RT,52
S-005,P-104,05/03/2024,JALISCO,"$21,750.25",DM,38
S-006,P-105,2024-03-11,cdmx,,RC,41
S-007,P-106,2024-03-22,NUEVO LEON,-5000,DM,33
S-008,P-107,2024-04-02,puebla,"$9,900.00",RC,27
S-001,P-100,2024-01-15,CDMX,"$12,500.00",DM,34
S-009,P-108,15/04/2024,CDMX,"$45,000.00",RT,60
S-010,P-109,2024-05-07,JALISCO,"$7,150.75",DM,31
S-011,P-110,2023-12-28,CDMX,"$30,000.00",DM,44
S-012,P-111,2024-05-19, puebla ,"$2,450.00",RC,23
S-013,P-112,31/02/2024,CDMX,"$5,000.00",DM,39
S-014,P-113,2024-06-01,NUEVO LEON,"$18,600.40",DM,48
S-015,P-114,2024-06-14,cdmx,"$0.00",RC,36
S-016,P-115,10/07/2024,JALISCO,"$13,275.00",RT,55
S-017,P-116,2024-07-23,CDMX,"$6,800.00",DM,
S-018,P-117,2024-08-05,NUEVO LEON,n/a,RC,42
S-019,P-118,2024-08-30,PUEBLA,"$24,100.60",DM,50
S-020,P-119,12/09/2024,CDMX,"$11,400.00",RC,28
S-002,P-101,20/01/2024,jalisco," $8,300.50 ",RC,45
S-021,P-120,2024-09-27,JALISCO,"$16,900.00",DM,37
S-022,P-121,2024-10-08,CDMX,"$33,500.00",RT,62
S-023,P-122,2024-10-21,NUEVO LEON,"$4,375.90",RC,26
S-024,P-123,2024-11-03,PUEBLA,"$19,250.00",DM,49
S-025,P-124,15/11/2024,CDMX,"$8,050.00",DM,30
